TOPIC,SUB_TOPIC
allma,"allma relative use, product advice allma, advice allma relative"
similar,"tea similar goodness, similar goodness felt, goodness tea similar, skinsmells similar tea, similar tea tree"
seal,"broken facepack seal, facepack seal open, broken seal iam, seal iam happy, shampoo broken seal"
carrot,"carrot seed oil, combination saffron carrot, saffron carrot seed, product walnut carrot, walnut carrot oil"
dealing,"useful dealing antifungal, dealing antifungal antibacterial, oil useful dealing, im dealing body, product im dealing"
sweating,"sweating give cooling, burn due sweating, well prevents sweating, reduced sweating give, well reduced sweating"
searched,"shampoo hair searched, searched hair fall, hair searched hair, searched reason avoid, always searched reason"
covid,"safe covid time, make safe covid, since covid something, lot due covid, covid something use"
productsit,"nice productsit give, productsit give better, wonderful productsit really, productsit really work, productsit reduce hair"
switching,"since switching another, switching another moisturiser, breakout since switching, switching face wash, wont switching face"
productgo,"fantastic productgo itvalue4money, time genuine productgo, really miraculous productgo"
soooooo,"soooooo gud like, mask soooooo gud, hair mask soooooo, product soooooo amazing, soooooo amazing improves"
picture,"superb shown picture, colour shown picture, product shown picture, picture loved itthe, shown picture loved"
droping,"droping mamaearth almond, droping mamaearth rice, droping mamaearth oil, droping mamaearth onion, good thought droping"
thankyoumamaearth,try mamaearth thankyoumamaearth
sesame,"sesame almond jojoba, baby sesame almond, oil baby sesame, sesame oil baby, nd sesame oil"
usual,"none mamaearth usual, usual mamaearth didnt, mamaearth usual mamaearth, much hydrated usual, use regularly usual"
transparent,"transparent ingredient list, philosophy transparent ingredient, like philosophy transparent, totally transparent colour, transparent colour amazing"
unwanted,"dark spot unwanted, unwanted marl face, spot unwanted marl, one unwanted acne, prevents unwanted tanning"
itmy,"productreally love itmy, love itmy skin, itmy skin slowly, 1week loved itmy, itmy skin super"
hat,"worth money hat, happy hat facewash, iam happy hat, hat facewash please, hat mama earth"
advise,"always advise use, result always advise, advise use mamaearth, advise give shot, strongly advise give"
ahead,"ahead product finally, go ahead product, girl went ahead, went ahead purchased, ahead best lip"
ointment,"ointment salicylic acid, doctor suggested ointment, suggested ointment salicylic, salicylic acid ointment, acid ointment product"
lo,"product go lo, dust powder lo, lo every bath, powder lo every, swallowed lo love"
loveeee,"product osm loveeee, mask everjust loveeee, hydration moisturization loveeee, moisturization loveeee product"
fairly,"fairly good quantity, come fairly good, fairly packaging smell, good fairly packaging, quality good fairly"
fir,"fir skin type, spot healthy fir, fir scalp well, healthy fir scalp, product fir skin"
apart,"wise nice apart, nice apart many, apart many benefit, sobut apart product, apart product mamaearth"
teatree,"teatree face wash, mama earth teatree, earth teatree face, teatree shampoo alovera, oil teatree shampoo"
resultsi,"got good resultsi, good resultsi trying, resultsi trying variety, resultsi loved much, superb resultsi loved"
suffered,"skin suffered got, lifestyle skin suffered, suffered got gift, suffered severe hairfall, suffered thanks onion"
relaxation,"mind relaxation mamaearth, skin mind relaxation, relaxation mamaearth bath, instant hydration relaxation, face relaxation come"
buddy,"buddy sun protection, perfect buddy sun, buddy use everyday, winter buddy use, perfect winter buddy"
calendula,"oat milk calendula, calendula lotion dry, calendula fregnance nice, milk calendula fregnance, made goodness calendula"
skinmust,"acne prone skinmust, prone skinmust try, product gud skinmust, skinmust try product, gud skinmust try"
refill,"please make refill, make refill pouch, face wash refill, face separate refill, refill order minimise"
producta,"mama earth producta, producta bangladeshit helpful, earth producta bangladeshit, producta person suffering, nice producta person"
substance,"made natural substance, natural substance excellent, substance excellent detanning, substance face dry, white substance face"
sending,"completely vanishhope sending, vanishhope sending feedback, sending feedback give, skin thank sending, order today sending"
staying,"colour long staying, staying quality best, long listing staying, listing staying quality, smudging staying till"
shinyi,"hair soft shinyi, soft shinyi addicted, soft shinyi highly, skin soft shinyi, shinyi highly recommend"
xl,"diaper xl size, baby diaper xl, xl size twin, diaper pant xl, xl size sister"
usei,"first usei loving, result first usei, better usei using, usei using itget, freegood usei feel"
mixing,"mixing coconut oil, used product mixing, product mixing coconut, mixing lukewarm water, applied back mixing"
mai,"mai sochta hu, mai ne try, soap mai ne, ye soap mai, mai plz aap"
truely,"truely natural product, tooo good truely, good truely control, truely control hairfall, truely effect hair"
plumpy,"make skin plumpy, skin plumpy nice, plumpy nice product, give plumpy refreshing, plumpy refreshing look"
67,"stay 67 hour, 67 hour easily, last least 67, least 67 hour, 67 time see"
proven,"proven naturally certified, product rich proven, proven effective ingrident, rich proven effective, proven really effective"
coverage,"like great coverage, good coverage good, provides good coverage, coverage good fragrance, coverage far beyond"
95,"hairfall reduced 95, pollution 95 job, due pollution 95, 95 job hard, patch gone 95"
official,"official site loving, every product official, product official site, official website helped, wash official website"
sine,"soft sine love, skin soft sine, using product sine, sine past month, sine month really"
opened,"son never opened, never opened mouth, opened mouth brush, last year opened, year opened bottle"
harmfull,"protects harmfull ray, sunsreen protects harmfull, harmfull ray remove, natural thing harmfull, thing harmfull skin"
powerful,"dandruff simply powerful, powerful antioxidant melanin, sheet mask powerful, powerful effective could, mask powerful effective"
caffeine,"removal effective caffeine, caffeine scrub face, effective caffeine scrub, buying caffeine face, caffeine face scrub"
exfoliator,"best exfoliator ever, skin best exfoliator, exfoliator ever used, great exfoliator opinion, tone great exfoliator"
tryi,"worth moneymust tryi, moneymust tryi love, must tryi happy, everyone must tryi, tryi happy customer"
approaching,"used half approaching, approaching end definitely, half approaching end, approaching baby scalp, winter approaching baby"
delighted,"next none delighted, delighted share review, fall delighted share, hair fall delighted, effective delighted result"
highlight,"hair highlight mask, highlight mask work, shampoo hair highlight, hair highlight done, got hair highlight"
veryy,"veryy good useful, veryy good product, veryy muchlso improved, texture hair veryy, hair veryy muchlso"
comparison,"great product comparison, product comparison best, comparison product ossom, earth product comparison, product comparison product"
cart,"add product cart, pocket already cart, cart tried everything, never going cart, going cart tried"
ful,"product help ful, ful product happy, use ful product, ful baby thanking, use ful baby"
useand,"paste easy useand, easy useand provides, useand provides natural, smooth every useand, every useand thus"
combat,"looking impossible combat, combat conditionnice product, helped combat conditionnice, dullbut helped combat, combat free radical"
safely,"packaging received safely, tan cleared safely, safely without chemical, cleared safely without, remove safely love"
okay,"price also okay, okay dont care, anymore smell okay, smell okay dont, okay practicing process"
hairloss,"okey product hairloss, product hairloss damage, reduces hairloss new, hairloss new hair, hair preventing hairloss"
despite,"despite fact oily, shiny despite fact, look shiny despite, extremely well despite, well despite fact"
compare,"alot better compare, good compare brand, compare brand loved, face good compare, good compare product"
bacterial,"anti bacterial property, bacterial property 100, bacterial quality loved, healing anti bacterial, anti bacterial quality"
diy,"diy simply rely, mask diy simply, face mask diy, face serum diy, serum diy offer"
hyderated,"skin hyderated love, hyderated love much, skin hyderated good, baby skin hyderated, hyderated good product"
welllove,"work really welllove, hydrate skin welllove, skin welllove mamaearth, welllove mamaearth product"
silicon,"wash build silicon, build silicon brush, silicon brush really, silicon brush soft, face silicon brush"
newly,"good newly post, newly post mother, nice product newly, newly born baby, product newly born"
excelent,"get excelent result, excelent result thank, product get excelent"
course,"body lotion course, course try mamaearth, lotion course try, packagingdelivary time course, time course best"
pouch,"make refill pouch, use keep pouch, kit pouch thats, pouch thats bad, without kit pouch"
immense,"benefit immense review, lotion benefit immense, immense review must, immense glowyou see, flawless give immense"
oiliness,"curb oiliness started, oiliness started using, skin curb oiliness, best product oiliness, product oiliness like"
forget,"never forget reorder, economical never forget, forget reorder soon, forget wearing lipstick, make forget wearing"
blood,"increase blood circulation, blood flow scalp, fall improving blood, improving blood circulation, blood circulation reduce"
met,"met two face, code met two, omg code met, met school friend, fragrance perfume met"
plzz,"plzz mama earth, soo plzz mama, scrub soo plzz, plzz purchase face, good plzz purchase"
madesafe,"madesafe certified make, well madesafe certified, work well madesafe, use madesafe certified, safe use madesafe"
introducing,"introducing awsome productkeep, thank mamaearth introducing, mamaearth introducing awsome, kudos mamaearth introducing, introducing rice sheet"
stain,"clarify spot stain, stain time surprised, use stubborn stain, stubborn stain time, bad stain skin"
praise,"product word praise, word praise product, anything except praise, except praise use, praise use every"
garden,"like moon garden, garden mist something, tropical garden mist, garden glow essence, always challenging garden"
rinse,"cleaning face rinse, rinse easily didnt, face rinse easily, easily rinse skin, rinse skin give"
branded,"used many branded, many branded body, branded body wash, tried branded one, branded one fan"
claimed,"delivers claimed product, claimed product love, claimed remove oil, product claimed remove, good product claimed"
commendable,"commendable best product, effect commendable best, moisturising effect commendable, side effect commendable, effect commendable go"
happen,"dry quickly happen, best thing happen, like miracle happen, happen skin sensitive, miracle happen skin"
cystic,"severe cystic acne, cystic acne issue, suffering cystic acne, horror cystic acne, cystic acne doctor"
maskit,"nice face maskit, onion hair maskit, hair maskit make, maskit make hair, face maskit cooling"
feather,"use lightweight feather, feather gave nature, lightweight feather gave, like feather lip, feel like feather"
father,"ordered father mamaearth, product ordered father, use paste father, paste father used, father used really"
fce,"love fce wsh, love fce wash"
fighting,"fighting acne pimple, helped fighting acne, also helped fighting, blemish fighting early, reducing blemish fighting"
wished,"glow always wished, wished try none, good hair wished, hair wished try, wished thanks mamaearth"
telling,"like smiling telling, telling thank thank, smiling telling thank, im telling lot, telling lot improvement"
1month,"product used 1month, product last 1month, 1month skin glowing, last 1month skin, product around 1month"
randomly,"suffers randomly ordered, truly suffers randomly, randomly ordered turned, randomly fell love, onion conditioner randomly"
permanent,"permanent customer hu, looking permanent solution, permanent part skin, face scrub permanent, scrub permanent part"
putting,"putting message see, use directly putting, directly putting oil, putting oil hair, knowing im putting"
sach,"result sach nice, sach nice product, amazing result sach, sach oil se, ki sach mashallah"
kro,"cream apply kro, kro bhi best, apply kro bhi, ye try kro"
resulting,"turnover resulting soft, resulting soft supple, cell turnover resulting, resulting radiant skin, radical damage resulting"
preferred,"actually preferred compact, preferred compact powder, tough care preferred, preferred use natural, care preferred use"
evened,"result evened skin, evened skin tone, hair soft evened, soft evened hair, evened hair color"
frangrance,"frangrance milk butter, giving natural frangrance, natural frangrance milk, nice natural frangrance, natural frangrance feel"
packed,"packed natural ingredient, bottle packed properly, packed properly fully, every bottle packed, packed properly lot"
2x,"2x absorption power, offer 2x absorption, 2x absorption 12, 2x absorption soft, best ever 2x"
bleaching,"fragrance chlorine bleaching, bleaching great relief, chlorine bleaching great, bleaching make viable, chlorine bleaching make"
pleasure,"natural pleasure skin, pleasure skin onehundredpercentagepointpercent, truly natural pleasure, product excellent pleasure, excellent pleasure every"
maintaining,"hydrating thus maintaining, thus maintaining ph, maintaining ph balance, good result maintaining, maintaining healthy hair"
designed,"nicely designed bottle, product nicely designed, designed bottle use, specially designed bottle, love specially designed"
loveing,"totally loveing itgonna, loveing itgonna purchase, bright totally loveing"
bst,"bst product love, bst amazng product, bst sunscreen ive, far bst sunscreen"
serumit,"serumit reduces pimple, pimple afraid serumit, afraid serumit reduces, wonderful face serumit, face serumit make"
adult,"work baby adult, adult bought good, baby adult bought, weather baby adult, adult give perfect"
purity,trust brand purity
fragrant,"fragrant natural ingredient, also naturally fragrant, sticky naturally fragrant, naturally fragrant chemical, fragrant free chemical"
murumuru,"murumuru butter baby, murumuru butter almond, murumuru butter face, ingredient like murumuru, like murumuru butter"
25,"25 monthsand result, already used 25, used 25 monthsand, pimple using 25, 25 day feel"
phenomenal,"phenomenal product effective, mamaearth phenomenal product, thanks mamaearth phenomenal, phenomenal result tea, dandruff anymore phenomenal"
fond,"fond natureinspired product, skin fond chocolate, fond chocolate flavor, indian skin fond, fond using rose"
loyal,"become loyal customer, loyal user mamaearth, loyal customer mamaearth, loyal customer specially, launched become loyal"
cleaned,"cleaned scalp helped, product good cleaned, good cleaned scalp, acne cleaned face, damage acne cleaned"
mildly,"completely mildly fragranced, loved completely mildly, mildly fragranced work, mildly fragranced great, love product mildly"
itll,"year hope itll, hope itll help, itll cure insect, mosquito bite itll, bite itll cure"
hearing,"hearing mamaearth onion, constantly hearing mamaearth, hearing mamaearth anti, hearing retinol benefit, ordered product hearing"
wedding,"summer wedding party, wedding party also, wedding looked awesome, tint wore wedding, perfect summer wedding"
ek,"ek bar jarur, dosto ek bar, product dosto ek, ek br ye, socho mt ek"
pa,"spf 50 pa, 50 pa protection, 50 provides pa, provides pa protection, pa protection prevent"
session,"use session summer, person use session, enjoys bathing session, champi session lightweight, perfect champi session"
laga,"accha accha laga, accha laga meko, atcha laga hain, bohot atcha laga, laga hain produced"
freindly,"price pocket freindly, pocket freindly quality, freindly quality good, freindly cute toohighly, packaging travel freindly"
krne,"krne bahut achha, use krne bahut, nice use krne, use krne baad, hai use krne"
productthe,"productthe best result, amazing productthe best, productthe result visible, thank mamaearth productthe, mamaearth productthe result"
patience,"brand need patience, need patience thats, need patience spota, problmsyou need patience, patience spota disappear"
olive,"olive oil help, love olive oil, cute love olive, oil infused olive, infused olive safe"
34wash,"loved 34wash hair, 34wash hair improving"
reviewi,"night cream reviewi, cream reviewi saythis, reviewi saythis product, reviewi love stay, stop posting reviewi"
realised,"disappointed first realised, realised make skin, first realised make, allkajal pencilthe realised, realised use mamaearth"
conditioning,"dandruff conditioning hair, conditioning hair get, control dandruff conditioning, conditioning property keep, deep conditioning property"
offline,"mama earth offline, earth offline storeit, offline storeit nyci, offline market giving, one offline market"
sheen,"hair glossy sheen, sheen one definitely, glossy sheen one, made glossy sheen, hair healthy sheen"
itgives,"using itgives fresh, itgives fresh look, started using itgives, month happy itgives, itgives skin proper"
lifestyle,"sun exposure lifestyle, exposure lifestyle skin, lifestyle skin suffered, following vegan lifestyle, lifestyle good see"
upar,"se bhi upar, good nice upar"
massaging,"love massaging nice, soft love massaging, non sticky massaging, sticky massaging cream, massaging cream skin"
lovd,"nicei jst lovd, value money lovd"
choosing,"considered choosing safe, choosing safe even, aspect considered choosing, thought choosing baby, first thought choosing"
productkeeps,"productkeeps baby skin, good productkeeps baby, good productkeeps hair, productkeeps hair safe, productkeeps skin tight"
variant,"launch shade variant, definitely buying variant, variant love best, red another variant, another variant love"
nykaa,"nykaa really like, buy nykaa really, purchased product nykaa, nykaa tried first, product nykaa tried"
worse,"goodside effect worse, becoming bad worse, worse next thing, bad worse next, becomes worse summer"
nowadays,"nowadays used mamaearth, product nowadays used, nice product nowadays, day day nowadays, nowadays skin became"
lead,"smooth lead reduce, lead reduce hairfall, strong smooth lead, henna powder lead, powder lead high"
house,"tried every house, house remedy stop, every house remedy, kid house happy, house happy buy"
sulfatefree,"user sulfatefree product, happy user sulfatefree, hair loss sulfatefree, loss sulfatefree cheap, sulfatefree cheap affordable"
prdct,"prdct skin type, awsome good prdct, good prdct skin, prdct good rangeam, fr good prdct"
average,"quality average quantity, average quantity sufficient, skin quality average"
smudgefree,"longlasting smudgefree waterproof, smudgefree longlasting thats, long lasting smudgefree, lasting smudgefree thats, smudgefree thats need"
tightens,"tightens pore also, skin flowless tightens, flowless tightens pore, dirt time tightens, time tightens brightens"
undoubtedly,"great undoubtedly go, work great undoubtedly, undoubtedly best product, product girl undoubtedly, girl undoubtedly best"
nowi,"using month nowi, month nowi say, used till nowi, till nowi think, nowi think bcz"
numerous,"price reasonable numerous, reasonable numerous benefit, numerous benefit baby, numerous way heard, skin numerous way"
dear,"product love dear, love dear shop, dear mamaearth thanks, thank dear team, product thank dear"
skinproved,"deeply moisturizes skinproved, skinproved first application, moisturizes skinproved first"
faceits,"change faceits really, drastic change faceits, faceits really working, glow fress faceits, fress faceits working"
specifically,"specifically loved packaging, specifically cherry top, gel specifically cherry, shower gel specifically, gel specifically summer"
refreshment,"give amazing refreshment, skin need refreshment, need refreshment vitamin, refreshment vitamin toner, vanished complete refreshment"
ntg,"loved product ntg, ntg dislike loved, product ntg dislike, ntg dislike product"
toooooo,"toooooo much beautiful, month result toooooo, toooooo good scare, result toooooo good"
crafted,"crafted goodness mango, crafted natural goodness, made crafted natural, naturally made crafted, crafted rice water"
somuch,"somuch amazing product, thank somuch amazing, somuch much appreciated, fav love somuch, love somuch much"
creme,"creme best product, nice creme best, best creme used, creme used best, creme day back"
religiously,"india love religiously, religiously use every, love religiously use, conditioner religiously hair, deep conditioner religiously"
beyond,"much beyond expectation, beyond expectation mamaearth, noticeable much beyond, beyond word describe, far beyond best"
extreme,"extreme hairfall absolutely, product control extreme, control extreme hairfall, extreme love product, face extreme acne"
5th,"5th time made, ordering 5th time, wash ordering 5th, hairbuying 5th time, quality hairbuying 5th"
biggest,"biggest fan mamaearth, im biggest fan, biggest enemy come, good sweat biggest, sweat biggest enemy"
darkspots,"ita good darkspots, remove darkspots pimple, clearing darkspots dark, darkspots dark circle, amazing clearing darkspots"
watery,"watery eye use, itching watery eye, mild itching watery, flowy watery come, watery come access"
antidandruff,"antidandruff hair oil, antidandruff hair mask, mask antidandruff hair, hair mask antidandruff, antidandruff shampoo effective"
wavy,"wavy using became, hairsmy hair wavy, hair wavy using, coarse wavy hair, wavy hair packaging"
granule,"granule charcoal scrub, granule mild remove, small granule mild, scrub small granule, week granule give"
perhaps,"hair loss perhaps, loss perhaps helpful, perhaps helpful new, perhaps one solution, india perhaps one"
blessed,"skin blessed hydration, ityour skin blessed, review experience blessed, experience blessed using, blessed using loved"
uh,"thnk uh mamaearth, product thnk uh, uh mamaeath goodness, soft thank uh, thank uh mamaeath"
bhring,"bhring amla hair, mamaearth bhring amla, oil know bhring, know bhring amla, bhring amla beneficial"
tanand,"reduce tanand friend, help reduce tanand, tanand friend suggested, tanand tea tree, remove tanand tea"
rejuvenate,"feel fresh rejuvenate, help rejuvenate skin, rejuvenate skin definitely, skin help rejuvenate, fresh rejuvenate using"
beet,"beet red shade, ordered beet red, beet red another, pink daffodil beet, daffodil beet red"
transformed,"skin completely transformed, skin transformed started, transformed started using, serum totally transformed, totally transformed skin"
foundation,"moisturiser foundation basic, mix moisturiser foundation, foundation basic look, foundation reviewgood skin, honest mamaearth foundation"
bam,"amezing lip bam, loved lip bam, lip bam thank, bam thank mamaeart, mamaerth lip bam"
dress,"enough wear dress, wear favorite dress, dress top without, favorite dress top, dress washing liquid"
closed,"buy eye closed, productit closed pore, closed pore give, natural productit closed, recommended go closed"
bounce,"bounce hair defrizzes, provides bounce hair, product provides bounce, hair bounce back, bounce back dead"
ilike,"ilike ever thing, ilike soap mamaearth, super ilike soap, ilike mamaearth face"
produce,"rash produce baby, productred rash produce, produce baby skin, honest humble produce, produce product effective"
chemically,"chemically treated hair, recommend chemically treated, highly recommend chemically, keratin work chemically, work chemically treated"
monthand,"monthand see dry, bought monthand see, mehndi twice monthand, monthand work disaster, twice monthand work"
greesy,"used non greesy, greesy wont leave, non greesy wont, doesnt feel greesy, greesy dry skin"
question,"effective alsobut question, alsobut question many, question many day, question arised mind, freeand question arised"
problemand,"reduce dandruff problemand, problemand nourish hair, dandruff problemand nourish, problemand keep hair, helped hairfall problemand"
decrease,"product actually decrease, actually decrease pimple, decrease hair frizziness, reducing hairfall decrease, hairfall decrease hair"
ensure,"ensure use product, sulfate free ensure, free ensure use, ensure scalp cleansed, shampoo ensure scalp"
cloth,"baby cloth washing, product baby cloth, party smell cloth, smell cloth next, cloth next two"
refilling,"option refilling would, provided option refilling, refilling would great"
handle,"bottle easy handle, easy handle apply, handle apply secondly, easy handle moisturises, handle moisturises skin"
mehendi,"dark mehendi vibe, give dark mehendi, mehendi vibe thumb, color mehendi look, mehendi look appropriatebig"
desired,"desired result dandruff, give desired result, work give desired, forward desired result, looking forward desired"
infused,"infused anti acne, tree infused anti, tea tree infused, formula infused vitamin, infused vitamin give"
lazy,"giving product lazy, lazy people mama, product lazy people, love lifesaver lazy, lazy girl like"
babyi,"effective product babyi, babyi happy product, product babyi happy, sutebal babyi love, complitly sutebal babyi"
camical,"skin harmful camical, harmful camical ot, camical reaction feel, useful without camical, without camical reaction"
ityou,"tried yetgo ityou, yetgo ityou love, yetgo ityou wont, ityou wont regret, ityou never regret"
minimize,"helped minimize acne, minimize acne oil, skin also minimize, minimize skin pore, also minimize skin"
certain,"dandruff reduced certain, reduced certain extent, certain extent first, certain hair type, product people certain"
human,"useful every human, human body love, harmful human body, product harmful human, valuability human protective"
10x,"baby latexfree 10x, 10x absorption benefit, latexfree 10x absorption, longlasting 10x moisturization, offer longlasting 10x"
thish,thish give beautifull
awesomemust,"really awesomemust try, wash really awesomemust, kajal really awesomemust"
tremendous,"tremendous plz buy, face tremendous plz, change face tremendous, awesome tremendous product, tremendous product get"
skinthis,"sensitive skinthis product, skinthis product worth, babybest sensitive skinthis, prone skinthis tea, skinthis tea tree"
osmi,"body wash osmi, wash osmi love, really osmi love, osmi love mamaearth, product really osmi"
screen,"sun screen tube, product sun screen, screen tube also, sun screen lotion, filled sun screen"
muchhhh,"like product muchhhh, goodi like muchhhh"
tends,"skin face tends, face tends turn, tends turn dark, mamaearth tends baby, tends baby skin"
dehydrated,"get dehydrated easily, dry get dehydrated, dehydrated easily must, feel skin dehydrated, skin dehydrated dryness"
except,"anything except praise, sing anything except, except praise use, hour except long, 12 hour except"
barnds,"barnds product result, comparing barnds product, product comparing barnds"
gem,"brand one gem, gem cream become, skin one gem, one gem cream, like gem would"
remember,"remember good product, tan remember good, remember cousin mentioned, even remember would, remember would definitely"
sell,"like way sell, way sell product, app app sell, sell good product, app sell good"
stickiness,"stickiness totally love, without stickiness totally, properly without stickiness, stickiness application smell, cream doesnt stickiness"
mulberry,"bye mulberry extract, bye bye mulberry, mulberry extract vitamin, blemish mulberry extract, ingredient contain mulberry"
advantage,"also lot advantage, mask onion advantage, advantage keep hair, onion advantage keep, scrub double advantage"
aware,"aware give face, aware apply moisturiser, people please aware, please aware apply, mark must aware"
replace,"product nothing replace, nothing replace mama, replace mama earth, replace lipstick give, lip product replace"
concerned,"far im concerned, concerned useful product, im concerned useful, concerned face proble, rid pimple concerned"
smelli,"smelli really like, product good smelli, good smelli really, nice smelli used, smelli used serum"
kaam,"kaam good product, vesa kaam good, naam vesa kaam, thing quantity kaam, quantity kaam hai"
assured,"assured started notable, result assured started, im assured totally, assured totally safe, happily im assured"
killer,"best mosquito killer, mosquito killer spray, mosquito killer liquid, killer spray baby, killer liquid help"
continued,"satisfied continued using, extremely satisfied continued, continued using since, continued use skin, im hoping continued"
wen,"wen instarted using, frm wen instarted, bt frm wen, product baby wen, baby wen dry"
wasool,"totally paisa wasool, paisa wasool gonna, wasool gonna buy, paisa wasool regret, wasool regret gonna"
leakage,"goodsome product leakage, throughout night leakage, night leakage good, leakage good absorbent, extra absorbtion leakage"
tooi,"useful tooi love, affordable tooi love, helpful useful tooi, natural affordable tooi, scrub tooi love"
tropical,"tropical garden mist, tropical body mist, mamaearth tropical body, tropical baby body, skin mamaearth tropical"
itso,"itso good productgives, towards itso good, attention towards itso, go itso smooth, itso smooth easy"
inexpensive,"inexpensive convenient honest, effective inexpensive using, inexpensive using regularly, safe effective inexpensive, inexpensive longlasting natural"
factor,"wow factor must, factor must try, may age factor, factor pigmentation cured, age factor pigmentation"
ayega,best result ayega
fastest,"awsome shade fastest, shade fastest delivery, nice product fastest, product fastest delivery, fastest delivery within"
stand,"one really stand, definitely stand well, one definitely stand, stand claim proud, time buy stand"
attached,"attached must say, got attached must, time got attached, attached work wonder, easily applicator attached"
schedule,"schedule added toner, hectic work schedule, work schedule added, work schedule affected, schedule affected undereye"
bead,"walnut bead face, without walnut bead, bead face wash, face bead use, scrubing face bead"
manufacturing,"manufacturing also give, product manufacturing also, love product manufacturing, manufacturing kind product, mamaearth manufacturing kind"
mint,"mint body wash, refreshing cooling mint, cooling mint ingredient, itching irritationslight mint, irritationslight mint cooling"
mamearths,"mamearths every product, mamearths vit face, using mamearths vit, mamearths face serum, may explore mamearths"
smaller,"tried smaller pack, used tried smaller, smaller pack first, smaller im looking, nose appear smaller"
reply,"pimple acne reply, acne reply plz, please reply one, face please reply, give plz reply"
glowin,"skin glowin day, say skin glowin, serum skin glowin, glowin look brighter, skin glowin look"
terrible,"hairfall terrible using, terrible using product, skin terrible combination, terrible combination best, aging skin terrible"
hygiene,"good oral hygiene, product skincare hygiene, skincare hygiene well, thing personal hygiene, hygiene product like"
material,"without harmful material, material goodness haldi, friendly pure material, pure material goodness, material 100 safe"
strengthening,"help strengthening hair, breather helped strengthening, strengthening tress giving, helped strengthening tress, hair strengthening making"
sunscreenit,"best sunscreenit take, sunscreenit take little, amazing sunscreenit removed, sunscreenit removed irritation, sunscreenit gel base"
pcos,"muchi pcos hair, pcos hair fall, helped muchi pcos, pcos acne reducing, ossm basically pcos"
champi,"champi time become, champi session lightweight, perfect champi session, really perfect champi, best champi time"
bestie,"bestie offered cream, bestie told quickly, gang bestie told, girl gang bestie, onion shampooand bestie"
weekend,"need weekend ritual, weekend ritual apply, skin need weekend, every weekend tried, weekend tried sunscreen"
lavender,"try lavender smell, lavender smell divine, must try lavender, nice well lavender, lavender smell favourite"
scare,"good scare really, scare really gone, toooooo good scare, scare reduced hand, allergic scare reduced"
follicle,"hair follicle onion, stimulates hair follicle, follicle onion oil, new hair follicle, follicle stopped hair"
google,"like much google, much google pay, google history filled, growthsearched google eye, hair growthsearched google"
dilevery,"amazing productearly dilevery, dilevery packing awesome, productearly dilevery packing, packing comfortable dilevery, amazing dilevery also"
memy,"memy skin glowing, complimented memy skin, relative complimented memy, amazing memy hair, memy hair good"
weird,"getting weird texture, dull getting weird, weird texture muchbut, weird worry happy, facewash smell weird"
peach,"peach lipstick shade, brown peach lipstick, work brown peach, good peach coloured, peach coloured dresseveryone"
appears,"appears small amount, good foam appears, foam appears small, entire life appears, appears face wash"
supurb,amazing supurb product
glycerin,"glycerin body wash, oat protein glycerin, protein glycerin body, aloe vera glycerin, glycerin turmeric good"
style,"style diaper superb, pant style diaper, mamaearth pant style, choice beard style, style cap smell"
regarding,"one word regarding, word regarding productawesome, usage regarding product, update usage regarding, regarding dark spot"
receive,"delivery easy receive, price receive hua, receive hua good, ke price receive, pimple happy receive"
tighter,"feel tighter nourished, skin feel tighter, skin become tighter, become tighter dark, tighter dark spot"
tho,"even tho apply, everyone even tho, tho apply cant, mamaearth launching tho, launching tho app"
vanish,"get vanish best, vanish best product, dandruff get vanish, vanish fully would, dark circle vanish"
grabon,"one using grabon, using grabon coupon, good deal grabon, grabon much satisfied, coupon grabon much"
achi,"wash bahot achi, achi hai like, bahot achi hai, time bhut achi, bhut achi lgi"
restores,"restores hair health, truly restores skin, cleanser truly restores, restores skin barrier, restores shine would"
reviewcuz,"face wash reviewcuz, wash reviewcuz love, reviewcuz love asweumquality, lotion reviewcuz lotion, vitamin lotion reviewcuz"
washit,"washit really magical, love face washit, face washit really, washit make skin, face washit make"
reviewthis,"wash reviewthis tan, reviewthis tan removal, face wash reviewthis, vinegar shampoo reviewthis, reviewthis made hair"
countless,"soap benefit countless, countless must say, benefit countless must, scrub benefit countless, countless using skin"
nowit,"hair nowit feel, nowit natural every, whole collection nowit, collection nowit natural, become favourite nowit"
swallowed,"worry even swallowed, even swallowed good, swallowed good product, swallowed mistake kid, safe swallowed mistake"
productu,"really love productu, must try productu, productu get fresh, productu definitely give, try productu get"
2019,"29th dec 2019, using 2019 thanks, 2019 thanks mamaearth, product using 2019, late 2019 specially"
settled,"hairgives hair settled, hair settled lookhelps, settled lookhelps reducing, settled smoother skin, cleanclear settled smoother"
living,"become part living, hair fall living, living constant exposure, skin started living, started living againjust"
selling,"best selling product, earth best selling, selling product correct, mamaearth genuine selling, genuine selling product"
mebut,"mebut serum given, use tease mebut, tease mebut serum, exist mebut using, mebut using skin"
alternative,"smart safe alternative, alternative chemical treatment, safe alternative chemical, alternative day daily, apply alternative day"
settle,"tan settle highly, dust tan settle, settle highly recommended, pimple settle loved, settle loved lot"
yummy,"product come yummy, yummy berry flavour, come yummy berry, yummy toothpaste kid, safe yummy toothpaste"
wondering,"wondering use mamaearth, wondering mamaearth onion, also wondering like, wondering like mamaearth, disproved assumption wondering"
